ID,Seizoen,Shirt,Maat,Nummer,Speler,Waarde,Extra,Foto1,Foto2,Foto3,Toekomst,Handtekeningen
1,1995-1996,Home youth,XL,4.0,,60.0,,Shirt71.2.jpg,Shirt71.1.jpg,,,
2,1997-1998,Home,XL,23.0,,80.0,,,,,,
3,1998-1999,Home,XL,,,60.0,,,,,,
4,1999-2000,Home,M,,,80.0,,,,,,
5,2000-2002,Away,XXL,,,60.0,,,,,,
6,2000-2002,Home,XL,,,50.0,,,,,,
7,2002-2004,Home,XL,,,60.0,,,,,,
8,2004-2005,GK,XL,,,30.0,,,,,,
9,2004-2006,Away,XXL,7.0,Verheyen,50.0,,,,,,
10,2005-2007,Home,XL,24.0,Priske,70.0,,,,,,
11,2006-2007,Away,XL,,,40.0,,,,,,
12,2007-2008,Away,S,23.0,Sterchele,70.0,,,,,,
13,2007-2008,Home,3XL,10.0,Sonck,65.0,,,,,,
14,2008-2009,Third,L,,,40.0,,,,,,
15,2008-2009,Away,XXL,,,35.0,,,,,,
16,2008-2009,Home,L,14.0,Simaeys,75.0,,,,,,Squad signed
17,2009-2010,GK 2,S,1.0,Stijnen,25.0,,,,,,
18,2009-2010,Away,S,,,40.0,,,,,,
19,2009-2010,Home,L,,,40.0,,,,,,
20,2010-2011,Away,L,,,40.0,,,,,,
21,2010-2011,Home,XL,44.0,Perisic,60.0,,,,,,
22,2010-2011,Home,3XL,15.0,Akpala,50.0,,,,,,
23,2011-2012,Away,S,,,30.0,,,,,Verkoop,
24,2012-2013,GK,L,39.0,Jorgacevic,40.0,,,,,,
25,2012-2013,Away,L,4.0,Hoefkens,55.0,,,,,,
26,2012-2013,Home,XL,,,45.0,,,,,,
27,2013-2014,Third,XL,,,40.0,,,,,Verkoop,
28,2013-2014,Third,L,,,45.0,,,,,Verkoop,
29,2013-2014,Third,XXL,30.0,Castillo,45.0,,,,,,
30,2013-2014,Away,L,17.0,Sobota,50.0,,,,,,
31,2013-2014,Home,XL,9.0,De Sutter,50.0,,,,,,
32,2013-2014,Home,L,9.0,De Sutter,70.0,,,,,,De Sutter
33,2014-2015,Away,L,,,40.0,,,,,,
34,2014-2015,Home,L,2.0,De Fauw,80.0,,,,,,
35,2014-2015,Home,XL,12.0,,70.0,,,,,,Squad signed
36,2014-2015,Home,M,42.0,Storm,70.0,,,,,,
37,2015-2016,Away,L,21.0,Cools,60.0,,,,,,
38,2016-2017,GK,XL,,,35.0,,,,,,
39,2016-2017,Third,XL,25.0,Vormer,65.0,,,,,,
40,2016-2017,Away,XXL,3.0,Simons,60.0,,,,,,
41,2016-2017,Home,XXL,3.0,Simons,60.0,,,,,,
42,2016-2017,Home,XL,25.0,Vormer,70.0,,,,,,
43,2016-2017,Home,XL,11.0,Izquierdo,60.0,,,,,,
44,2017-2018,GK,L,,,30.0,,,,,,
45,2017-2018,Fourth,XXL,,,50.0,,,,,,
46,2017-2018,Third,XL,30.0,Nakamba,80.0,,,,,,Nakamba
47,2017-2018,Away,L,42.0,Dennis,40.0,,,,,,
48,2017-2018,Away,XL,30.0,Nakamba,70.0,,,,,,Nakamba
49,2017-2018,Home,3XL,,,20.0,,,,,Verkoop,
50,2017-2018,Home,3XL,3.0,Simons,60.0,,,,,,
51,2017-2018,Home,XXL,20.0,Vanaken,40.0,,,,,,
52,2018-2019,Third,5XL,,,30.0,,,,,Verkoop,
53,2018-2019,Third,3XL,,,40.0,,,,,,
54,2018-2019,Third,XXL,,Vormer,100.0,Ingekaderd,,,,,Vormer
