ID,Seizoen,Shirt,Speler,Nummer,Maat,Geschatte_Waarde,Matchworn,Foto1,Foto2,Foto3,Handtekeningen
1,1995-1996,Home youth,,4,XL,60,,Shirt71.2,Shirt71.1,,
2,1997-1998,Home,,23,XL,80,,Shirt2.1.jpg,Shirt2.2.jpg,,
3,1998-1999,Home,,,XL,60,,Shirt72.1,Shirt72.2,,
4,1999-2000,Home,,,M,80,,Shirt3.1.jpg,Shirt3.2.jpg,Shirt3.3.jpg,
5,2000-2002,Away,,,XXL,60,,Shirt73.1,Shirt73.2,,
6,2000-2002,Home,,,XL,50,,,,,
7,2002-2004,Home,,,XL,60,,,,,
8,2004-2005,GK,,,XL,30,,Shirt6.1.jpg,Shirt6.2.jpg,,
9,2004-2006,Away,Verheyen,7,XXL,50,,Shirt7.1.jpg,Shirt7.2.jpg,,
10,2005-2007,Home,Priske,24,XL,70,,Shirt9.1.jpg,Shirt9.2.jpg,,
11,2006-2007,Away,,,XL,40,,Shirt8.1.jpg,Shirt8.2.jpg,,
12,2007-2008,Away,Sterchele,23,S,70,,Shirt10.1.jpg,Shirt10.2.jpg,,
13,2007-2008,Home,Sonck,10,3XL,65,,Shirt74.1,Shirt74.2,,
14,2008-2009,Third,,,L,40,,Shirt11.1.jpg,Shirt11.2.jpg,,
15,2008-2009,Away,,,XXL,35,,Shirt12.1.jpg,Shirt12.2.jpg,,
16,2008-2009,Home,Simaeys,14,L,75,,Shirt75.1,Shirt75.2,,Squad signed
17,2009-2010,GK 2,Stijnen,1,S,25,,Shirt13.1.jpg,Shirt13.2.jpg,,
18,2009-2010,Away,,,S,40,,Shirt14.1.jpg,Shirt14.2.jpg,,
19,2009-2010,Home,,,L,40,,Shirt15.1.jpg,Shirt15.2.jpg,,
20,2010-2011,Away,,,L,40,,Shirt16.1.jpg,Shirt16.2.jpg,,
21,2010-2011,Home,Perisic,44,XL,60,,Shirt17.1.jpg,Shirt17.2.jpg,Shirt17.3.jpg,
22,2010-2011,Home,Akpala,15,3XL,50,,,,,
23,2011-2012,Away,,,S,30,,Shirt18.1.jpg,Shirt18.2.jpg,,
24,2012-2013,GK,Jorgacevic,39,L,40,,Shirt19.1.jpg,Shirt19.2.jpg,,
25,2012-2013,Away,Hoefkens,4,L,55,,Shirt20.1.jpg,Shirt20.2.jpg,Shirt20.3.jpg,
26,2012-2013,Home,,,XL,45,,,,,
27,2013-2014,Third,,,XL,40,,,,,
28,2013-2014,Third,,,L,45,,,,,
29,2013-2014,Third,Castillo,30,XXL,45,,,,,
30,2013-2014,Away,Sobota,17,L,50,,Shirt24.1.jpg,Shirt24.2.jpg,,
31,2013-2014,Home,De Sutter,9,XL,50,,,,,
32,2013-2014,Home,De Sutter,9,L,70,,Shirt25.1.jpg,Shirt25.2.jpg,,Signed by De Sutter
33,2014-2015,Away,,,L,40,,,,,
34,2014-2015,Home,De Fauw,2,L,80,,Shirt26.1.jpg,Shirt26.2.jpg,,
35,2014-2015,Home,,12,XL,70,,Shirt70.1.jpg,Shirt70.2.jpg,Shirt70.3.jpg,Squad signed
36,2014-2015,Home,Storm,42,M,70,,,,,
37,2015-2016,Away,Cools,21,L,60,,,,,
38,2016-2017,GK,,,XL,35,,,,,
39,2016-2017,Third,Vormer,25,XL,65,,Shirt28.1.jpg,Shirt28.2.jpg,,
40,2016-2017,Away,Simons,3,XXL,60,,,,,
41,2016-2017,Home,Simons,3,XXL,60,,,,,
42,2016-2017,Home,Vormer,25,XL,70,,Shirt29.1.jpg,Shirt29.2.jpg,,
43,2016-2017,Home,Izquierdo,11,XL,60,,Shirt30.1.jpg,Shirt30.2.jpg,Shirt30.3.jpg,
44,2017-2018,GK,,,L,30,,Shirt32.1.jpg,Shirt32.2.jpg,,
45,2017-2018,Fourth,,,XXL,50,,Shirt31.1.jpg,Shirt31.2.jpg,,
46,2017-2018,Third,Nakamba,30,XL,80,,Shirt33.1.jpg,Shirt33.2.jpg,,Signed by Nakamba
